query,parameter_index,parameters,results,time_seconds
bi14b,1,"{""country1"": ""Azerbaijan"", ""country2"": ""South_Korea""}","[{""person1.id"": 24189255811081, ""person2.id"": 13194139533514, ""city1.name"": ""Baku"", ""score"": 5}]",0.005990
bi14b,2,"{""country1"": ""Austria"", ""country2"": ""Spain""}",[],0.001855
bi14b,3,"{""country1"": ""Azerbaijan"", ""country2"": ""Taiwan""}","[{""person1.id"": 24189255811081, ""person2.id"": 21990232560753, ""city1.name"": ""Baku"", ""score"": 16}]",0.004856
bi14b,4,"{""country1"": ""Azerbaijan"", ""country2"": ""Honduras""}","[{""person1.id"": 24189255811081, ""person2.id"": 2199023265046, ""city1.name"": ""Baku"", ""score"": 15}]",0.005176
bi14b,5,"{""country1"": ""Belgium"", ""country2"": ""Turkey""}","[{""person1.id"": 26388279074690, ""person2.id"": 21990232563456, ""city1.name"": ""Antwerp"", ""score"": 16}]",0.006849
bi14b,6,"{""country1"": ""Austria"", ""country2"": ""France""}","[{""person1.id"": 6597069768135, ""person2.id"": 24189255814676, ""city1.name"": ""Vienna"", ""score"": 16}]",0.005784
bi14b,7,"{""country1"": ""Azerbaijan"", ""country2"": ""Belgium""}","[{""person1.id"": 24189255811081, ""person2.id"": 6597069773428, ""city1.name"": ""Baku"", ""score"": 16}]",0.005547
bi14b,8,"{""country1"": ""Angola"", ""country2"": ""Hungary""}","[{""person1.id"": 26388279074946, ""person2.id"": 26388279070147, ""city1.name"": ""Luanda"", ""score"": 10}]",0.012949
bi14b,9,"{""country1"": ""Austria"", ""country2"": ""Morocco""}",[],0.001955
bi14b,10,"{""country1"": ""Belgium"", ""country2"": ""Peru""}",[],0.001704
bi14b,11,"{""country1"": ""Azerbaijan"", ""country2"": ""Portugal""}","[{""person1.id"": 24189255811081, ""person2.id"": 24189255815274, ""city1.name"": ""Baku"", ""score"": 16}]",0.007872
bi14b,12,"{""country1"": ""Austria"", ""country2"": ""Oman""}","[{""person1.id"": 24189255814562, ""person2.id"": 6510, ""city1.name"": ""Vienna"", ""score"": 6}]",0.005694
bi14b,13,"{""country1"": ""Azerbaijan"", ""country2"": ""Slovenia""}","[{""person1.id"": 6597069774915, ""person2.id"": 4398046521593, ""city1.name"": ""Baku"", ""score"": 16}]",0.005621
bi14b,14,"{""country1"": ""Austria"", ""country2"": ""Venezuela""}",[],0.001763
bi14b,15,"{""country1"": ""Azerbaijan"", ""country2"": ""Poland""}","[{""person1.id"": 30786325579305, ""person2.id"": 2199023263408, ""city1.name"": ""Baku"", ""score"": 15}]",0.010563
bi14b,16,"{""country1"": ""Azerbaijan"", ""country2"": ""Sri_Lanka""}",[],0.001810
bi14b,17,"{""country1"": ""Azerbaijan"", ""country2"": ""Northern_Ireland""}",[],0.001495
bi14b,18,"{""country1"": ""Azerbaijan"", ""country2"": ""Indonesia""}","[{""person1.id"": 21990232556570, ""person2.id"": 19791209301605, ""city1.name"": ""Baku"", ""score"": 16}]",0.006527
bi14b,19,"{""country1"": ""Austria"", ""country2"": ""Bosnia_and_Herzegovina""}",[],0.001915
bi14b,20,"{""country1"": ""Austria"", ""country2"": ""Azerbaijan""}",[],0.001516
bi14b,21,"{""country1"": ""Azerbaijan"", ""country2"": ""Greece""}","[{""person1.id"": 8410, ""person2.id"": 5694, ""city1.name"": ""Baku"", ""score"": 16}]",0.005974
bi14b,22,"{""country1"": ""Bolivia"", ""country2"": ""Algeria""}","[{""person1.id"": 28587302325080, ""person2.id"": 28587302326226, ""city1.name"": ""Carmen_Pampa"", ""score"": 15}]",0.019351
bi14b,23,"{""country1"": ""Belgium"", ""country2"": ""Ukraine""}","[{""person1.id"": 26388279072135, ""person2.id"": 19791209305252, ""city1.name"": ""Antwerp"", ""score"": 5}]",0.006970
bi14b,24,"{""country1"": ""Austria"", ""country2"": ""Australia""}",[],0.001566
bi14b,25,"{""country1"": ""Bolivia"", ""country2"": ""Egypt""}","[{""person1.id"": 28587302325080, ""person2.id"": 6597069776446, ""city1.name"": ""Carmen_Pampa"", ""score"": 2}]",0.011349
bi14b,26,"{""country1"": ""Angola"", ""country2"": ""Vietnam""}","[{""person1.id"": 2199023259496, ""person2.id"": 35184372096829, ""city1.name"": ""Luanda"", ""score"": 1}]",0.008258
bi14b,27,"{""country1"": ""Belgium"", ""country2"": ""Sri_Lanka""}",[],0.001933
bi14b,28,"{""country1"": ""Azerbaijan"", ""country2"": ""Bulgaria""}","[{""person1.id"": 24189255811081, ""person2.id"": 17592186045373, ""city1.name"": ""Baku"", ""score"": 6}]",0.005673
bi14b,29,"{""country1"": ""Azerbaijan"", ""country2"": ""Czech_Republic""}","[{""person1.id"": 28587302330248, ""person2.id"": 28587302324317, ""city1.name"": ""Baku"", ""score"": 2}]",0.004040
bi14b,30,"{""country1"": ""Azerbaijan"", ""country2"": ""Thailand""}","[{""person1.id"": 28587302330248, ""person2.id"": 6597069770822, ""city1.name"": ""Baku"", ""score"": 15}]",0.014349
bi14b,31,"{""country1"": ""Azerbaijan"", ""country2"": ""Democratic_Republic_of_the_Congo""}",[],0.001703
