query,parameter_index,parameters,results,time_seconds
bi19b,1,"{""city1Id"": ""129"", ""city2Id"": ""265""}","[{""person1.id"": 8796093024188, ""person2.id"": 17592186053132, ""totalWeight"": 37.0}]",0.128322
bi19b,2,"{""city1Id"": ""179"", ""city2Id"": ""252""}","[{""person1.id"": 30786325585120, ""person2.id"": 15393162792471, ""totalWeight"": 39.0}]",0.205267
bi19b,3,"{""city1Id"": ""480"", ""city2Id"": ""498""}","[{""person1.id"": 21990232557391, ""person2.id"": 19791209304389, ""totalWeight"": 38.0}]",0.210053
bi19b,4,"{""city1Id"": ""397"", ""city2Id"": ""484""}","[{""person1.id"": 21990232561480, ""person2.id"": 30786325584088, ""totalWeight"": 38.0}]",0.302566
bi19b,5,"{""city1Id"": ""402"", ""city2Id"": ""426""}","[{""person1.id"": 17592186048395, ""person2.id"": 4398046511410, ""totalWeight"": 37.0}]",0.391992
bi19b,6,"{""city1Id"": ""137"", ""city2Id"": ""247""}","[{""person1.id"": 2199023257361, ""person2.id"": 15393162796621, ""totalWeight"": 73.0}, {""person1.id"": 4398046516688, ""person2.id"": 2199023257858, ""totalWeight"": 73.0}, {""person1.id"": 4398046516688, ""person2.id"": 15393162796621, ""totalWeight"": 73.0}, {""person1.id"": 8796093031780, ""person2.id"": 2199023257858, ""totalWeight"": 73.0}, {""person1.id"": 35184372097490, ""person2.id"": 15393162796621, ""totalWeight"": 73.0}]",0.168721
bi19b,7,"{""city1Id"": ""716"", ""city2Id"": ""749""}","[{""person1.id"": 9034, ""person2.id"": 21990232564973, ""totalWeight"": 39.0}, {""person1.id"": 9034, ""person2.id"": 35184372090663, ""totalWeight"": 39.0}]",0.233621
bi19b,8,"{""city1Id"": ""128"", ""city2Id"": ""198""}","[{""person1.id"": 4398046512801, ""person2.id"": 2199023264173, ""totalWeight"": 36.0}]",0.298559
bi19b,9,"{""city1Id"": ""121"", ""city2Id"": ""224""}","[{""person1.id"": 17592186052058, ""person2.id"": 19791209305340, ""totalWeight"": 38.0}]",0.140361
bi19b,10,"{""city1Id"": ""332"", ""city2Id"": ""338""}","[{""person1.id"": 28587302324780, ""person2.id"": 30786325578699, ""totalWeight"": 39.0}]",0.112311
bi19b,11,"{""city1Id"": ""354"", ""city2Id"": ""381""}","[{""person1.id"": 15393162799092, ""person2.id"": 10995116281185, ""totalWeight"": 37.0}, {""person1.id"": 26388279073459, ""person2.id"": 8796093023818, ""totalWeight"": 37.0}]",0.262610
bi19b,12,"{""city1Id"": ""737"", ""city2Id"": ""751""}","[{""person1.id"": 17592186046854, ""person2.id"": 10995116283902, ""totalWeight"": 38.0}]",0.109967
bi19b,13,"{""city1Id"": ""774"", ""city2Id"": ""786""}","[{""person1.id"": 13194139538167, ""person2.id"": 28587302328236, ""totalWeight"": 38.0}]",0.146748
bi19b,14,"{""city1Id"": ""210"", ""city2Id"": ""261""}","[{""person1.id"": 32985348841067, ""person2.id"": 21990232557238, ""totalWeight"": 38.0}]",0.247568
bi19b,15,"{""city1Id"": ""314"", ""city2Id"": ""499""}","[{""person1.id"": 8796093028790, ""person2.id"": 15393162796803, ""totalWeight"": 38.0}, {""person1.id"": 21990232557978, ""person2.id"": 21990232563549, ""totalWeight"": 38.0}]",0.460756
bi19b,16,"{""city1Id"": ""1384"", ""city2Id"": ""1387""}","[{""person1.id"": 19791209309910, ""person2.id"": 8796093025476, ""totalWeight"": 37.0}, {""person1.id"": 19791209309910, ""person2.id"": 35184372094117, ""totalWeight"": 37.0}]",0.144814
bi19b,17,"{""city1Id"": ""332"", ""city2Id"": ""343""}","[{""person1.id"": 21990232565710, ""person2.id"": 7593, ""totalWeight"": 37.0}, {""person1.id"": 26388279072440, ""person2.id"": 13194139535015, ""totalWeight"": 37.0}]",0.216656
bi19b,18,"{""city1Id"": ""919"", ""city2Id"": ""941""}","[{""person1.id"": 6597069767682, ""person2.id"": 8796093029786, ""totalWeight"": 36.0}]",0.793171
bi19b,19,"{""city1Id"": ""178"", ""city2Id"": ""300""}","[{""person1.id"": 13194139537202, ""person2.id"": 4398046511304, ""totalWeight"": 38.0}]",0.372625
bi19b,20,"{""city1Id"": ""117"", ""city2Id"": ""208""}","[{""person1.id"": 10995116288013, ""person2.id"": 2199023265236, ""totalWeight"": 39.0}, {""person1.id"": 26388279066965, ""person2.id"": 30786325580998, ""totalWeight"": 39.0}, {""person1.id"": 26388279066965, ""person2.id"": 32985348838445, ""totalWeight"": 39.0}]",0.456606
bi19b,21,"{""city1Id"": ""447"", ""city2Id"": ""481""}","[{""person1.id"": 13194139543173, ""person2.id"": 10995116282388, ""totalWeight"": 37.0}]",0.272511
bi19b,22,"{""city1Id"": ""126"", ""city2Id"": ""254""}","[{""person1.id"": 19791209303398, ""person2.id"": 19791209305058, ""totalWeight"": 38.0}]",0.443948
bi19b,23,"{""city1Id"": ""852"", ""city2Id"": ""870""}","[{""person1.id"": 6574, ""person2.id"": 2199023264805, ""totalWeight"": 36.0}]",0.213358
bi19b,24,"{""city1Id"": ""451"", ""city2Id"": ""495""}","[{""person1.id"": 26388279070452, ""person2.id"": 15393162789356, ""totalWeight"": 38.0}]",0.178500
bi19b,25,"{""city1Id"": ""326"", ""city2Id"": ""422""}","[{""person1.id"": 10995116283714, ""person2.id"": 15393162794968, ""totalWeight"": 73.0}, {""person1.id"": 13194139535893, ""person2.id"": 4398046512501, ""totalWeight"": 73.0}, {""person1.id"": 13194139535893, ""person2.id"": 17592186051369, ""totalWeight"": 73.0}]",0.302190
bi19b,26,"{""city1Id"": ""279"", ""city2Id"": ""306""}","[{""person1.id"": 15393162790427, ""person2.id"": 6661, ""totalWeight"": 72.0}, {""person1.id"": 15393162790427, ""person2.id"": 15393162790313, ""totalWeight"": 72.0}]",0.288323
bi19b,27,"{""city1Id"": ""134"", ""city2Id"": ""279""}","[{""person1.id"": 6597069770461, ""person2.id"": 15393162790427, ""totalWeight"": 36.0}]",0.309794
bi19b,28,"{""city1Id"": ""147"", ""city2Id"": ""249""}","[{""person1.id"": 6597069771225, ""person2.id"": 8796093031325, ""totalWeight"": 38.0}]",0.070901
bi19b,29,"{""city1Id"": ""313"", ""city2Id"": ""472""}","[{""person1.id"": 24189255820902, ""person2.id"": 21990232559802, ""totalWeight"": 37.0}]",0.227036
bi19b,30,"{""city1Id"": ""664"", ""city2Id"": ""670""}","[{""person1.id"": 21990232558284, ""person2.id"": 4398046520947, ""totalWeight"": 36.0}]",0.162024
bi19b,31,"{""city1Id"": ""231"", ""city2Id"": ""242""}","[{""person1.id"": 17592186047476, ""person2.id"": 19791209301007, ""totalWeight"": 39.0}]",0.175915
bi19b,32,"{""city1Id"": ""234"", ""city2Id"": ""277""}","[{""person1.id"": 10995116281487, ""person2.id"": 8796093024055, ""totalWeight"": 37.0}, {""person1.id"": 21990232555607, ""person2.id"": 8796093024055, ""totalWeight"": 37.0}]",0.234873
bi19b,33,"{""city1Id"": ""342"", ""city2Id"": ""447""}","[{""person1.id"": 24189255812497, ""person2.id"": 6597069771347, ""totalWeight"": 38.0}]",0.176868
bi19b,34,"{""city1Id"": ""316"", ""city2Id"": ""442""}","[{""person1.id"": 35184372099027, ""person2.id"": 30786325579846, ""totalWeight"": 39.0}]",0.313743
bi19b,35,"{""city1Id"": ""336"", ""city2Id"": ""414""}","[{""person1.id"": 15393162795717, ""person2.id"": 15393162797324, ""totalWeight"": 37.0}]",0.350969
bi19b,36,"{""city1Id"": ""763"", ""city2Id"": ""772""}","[{""person1.id"": 17592186047849, ""person2.id"": 10995116280044, ""totalWeight"": 72.0}]",0.153508
bi19b,37,"{""city1Id"": ""161"", ""city2Id"": ""308""}","[{""person1.id"": 17592186054960, ""person2.id"": 17592186053943, ""totalWeight"": 38.0}]",0.307554
bi19b,38,"{""city1Id"": ""126"", ""city2Id"": ""262""}","[{""person1.id"": 19791209303398, ""person2.id"": 28587302325384, ""totalWeight"": 39.0}]",0.332147
bi19b,39,"{""city1Id"": ""142"", ""city2Id"": ""173""}","[{""person1.id"": 13194139535407, ""person2.id"": 30786325586977, ""totalWeight"": 38.0}]",0.254222
bi19b,40,"{""city1Id"": ""718"", ""city2Id"": ""736""}","[{""person1.id"": 17592186047526, ""person2.id"": 21990232564793, ""totalWeight"": 38.0}]",0.011926
bi19b,41,"{""city1Id"": ""341"", ""city2Id"": ""507""}","[{""person1.id"": 4398046521068, ""person2.id"": 30786325586066, ""totalWeight"": 38.0}]",0.132324
bi19b,42,"{""city1Id"": ""213"", ""city2Id"": ""265""}","[{""person1.id"": 4398046516058, ""person2.id"": 2199023255668, ""totalWeight"": 37.0}]",0.153685
bi19b,43,"{""city1Id"": ""156"", ""city2Id"": ""306""}","[{""person1.id"": 28587302332385, ""person2.id"": 28587302331208, ""totalWeight"": 39.0}]",0.240383
bi19b,44,"{""city1Id"": ""122"", ""city2Id"": ""141""}","[{""person1.id"": 28587302324075, ""person2.id"": 28587302328643, ""totalWeight"": 72.0}]",0.188428
bi19b,45,"{""city1Id"": ""120"", ""city2Id"": ""199""}","[{""person1.id"": 30786325580854, ""person2.id"": 8796093024361, ""totalWeight"": 37.0}]",0.309342
bi19b,46,"{""city1Id"": ""448"", ""city2Id"": ""494""}","[{""person1.id"": 3903, ""person2.id"": 26388279069954, ""totalWeight"": 37.0}]",0.354019
bi19b,47,"{""city1Id"": ""727"", ""city2Id"": ""731""}","[{""person1.id"": 6597069773673, ""person2.id"": 4398046520672, ""totalWeight"": 72.0}]",0.247734
bi19b,48,"{""city1Id"": ""332"", ""city2Id"": ""392""}","[{""person1.id"": 26388279072440, ""person2.id"": 26388279070680, ""totalWeight"": 38.0}]",0.251232
bi19b,49,"{""city1Id"": ""216"", ""city2Id"": ""270""}","[{""person1.id"": 6597069767319, ""person2.id"": 17592186044720, ""totalWeight"": 39.0}]",0.198758
bi19b,50,"{""city1Id"": ""424"", ""city2Id"": ""465""}","[{""person1.id"": 8796093024263, ""person2.id"": 2199023264745, ""totalWeight"": 36.0}]",0.245067
bi19b,51,"{""city1Id"": ""470"", ""city2Id"": ""483""}","[{""person1.id"": 5924, ""person2.id"": 32985348840727, ""totalWeight"": 73.0}, {""person1.id"": 13194139536963, ""person2.id"": 15393162791441, ""totalWeight"": 73.0}]",0.187498
bi19b,52,"{""city1Id"": ""136"", ""city2Id"": ""262""}","[{""person1.id"": 6597069768955, ""person2.id"": 6597069767877, ""totalWeight"": 36.0}, {""person1.id"": 6597069768955, ""person2.id"": 26388279076853, ""totalWeight"": 36.0}]",0.286881
bi19b,53,"{""city1Id"": ""470"", ""city2Id"": ""492""}","[{""person1.id"": 13194139536963, ""person2.id"": 17592186048386, ""totalWeight"": 38.0}]",0.236476
