query,parameter_index,parameters,results,time_seconds
bi16b,1,"{""tagA"": ""Jeff_Kennett"", ""dateA"": ""2012-12-24"", ""tagB"": ""Ralph_Bakshi"", ""dateB"": ""2010-05-12"", ""maxKnowsLimit"": ""6""}",[],0.002225
bi16b,2,"{""tagA"": ""Big_Poppa"", ""dateA"": ""2012-12-29"", ""tagB"": ""East_Germany"", ""dateB"": ""2010-02-25"", ""maxKnowsLimit"": ""3""}",[],0.005210
bi16b,3,"{""tagA"": ""Gin_and_Juice"", ""dateA"": ""2012-12-21"", ""tagB"": ""Slovenia"", ""dateB"": ""2010-03-13"", ""maxKnowsLimit"": ""3""}",[],0.005531
bi16b,4,"{""tagA"": ""J.E._Heartbreak"", ""dateA"": ""2012-12-31"", ""tagB"": ""Right_on_the_Money"", ""dateB"": ""2011-10-04"", ""maxKnowsLimit"": ""6""}",[],0.001894
bi16b,5,"{""tagA"": ""No_Way_to_Say"", ""dateA"": ""2012-12-31"", ""tagB"": ""Apagorevmeno"", ""dateB"": ""2011-02-15"", ""maxKnowsLimit"": ""3""}",[],0.001306
bi16b,6,"{""tagA"": ""Imperial_Bedroom"", ""dateA"": ""2012-12-27"", ""tagB"": ""Back_for_the_Attack"", ""dateB"": ""2010-06-09"", ""maxKnowsLimit"": ""5""}",[],0.001300
bi16b,7,"{""tagA"": ""Party_in_the_U.S.A."", ""dateA"": ""2012-12-29"", ""tagB"": ""Right_on_the_Money"", ""dateB"": ""2011-10-04"", ""maxKnowsLimit"": ""4""}",[],0.001602
bi16b,8,"{""tagA"": ""All_by_Myself"", ""dateA"": ""2012-12-31"", ""tagB"": ""Slovenia"", ""dateB"": ""2010-03-13"", ""maxKnowsLimit"": ""5""}",[],0.004979
bi16b,9,"{""tagA"": ""Rani_Mukerji"", ""dateA"": ""2012-12-19"", ""tagB"": ""Catfights_and_Spotlights"", ""dateB"": ""2010-07-22"", ""maxKnowsLimit"": ""4""}",[],0.001999
bi16b,10,"{""tagA"": ""The_Best_of_David_Bowie_1969/1974"", ""dateA"": ""2012-12-25"", ""tagB"": ""Pieces_of_a_Man"", ""dateB"": ""2010-01-31"", ""maxKnowsLimit"": ""6""}",[],0.001429
bi16b,11,"{""tagA"": ""Ralph_Bakshi"", ""dateA"": ""2012-12-25"", ""tagB"": ""Something_to_Remember"", ""dateB"": ""2010-06-16"", ""maxKnowsLimit"": ""6""}",[],0.001249
bi16b,12,"{""tagA"": ""Aga_Khan_IV"", ""dateA"": ""2012-12-27"", ""tagB"": ""Seventh_Star"", ""dateB"": ""2010-02-24"", ""maxKnowsLimit"": ""4""}",[],0.001435
bi16b,13,"{""tagA"": ""Catfights_and_Spotlights"", ""dateA"": ""2012-12-28"", ""tagB"": ""Jacques_Chirac"", ""dateB"": ""2010-02-23"", ""maxKnowsLimit"": ""4""}",[],0.005869
bi16b,14,"{""tagA"": ""East_Germany"", ""dateA"": ""2012-12-03"", ""tagB"": ""Disco_Duck"", ""dateB"": ""2010-06-09"", ""maxKnowsLimit"": ""5""}",[],0.003382
bi16b,15,"{""tagA"": ""The_Heroin_Diaries_Soundtrack"", ""dateA"": ""2012-12-31"", ""tagB"": ""Sans_logique"", ""dateB"": ""2011-10-23"", ""maxKnowsLimit"": ""5""}",[],0.001717
bi16b,16,"{""tagA"": ""After_the_Heat"", ""dateA"": ""2012-12-29"", ""tagB"": ""Preflyte"", ""dateB"": ""2010-04-06"", ""maxKnowsLimit"": ""3""}",[],0.001484
bi16b,17,"{""tagA"": ""J.E._Heartbreak"", ""dateA"": ""2012-12-31"", ""tagB"": ""Republic_of_New_Granada"", ""dateB"": ""2010-03-13"", ""maxKnowsLimit"": ""5""}",[],0.001861
bi16b,18,"{""tagA"": ""Jerry_Lee_Lewis"", ""dateA"": ""2012-11-05"", ""tagB"": ""Lovesexy"", ""dateB"": ""2010-12-30"", ""maxKnowsLimit"": ""5""}",[],0.005204
bi16b,19,"{""tagA"": ""Jeff_Kennett"", ""dateA"": ""2012-12-24"", ""tagB"": ""Disco_Duck"", ""dateB"": ""2010-06-09"", ""maxKnowsLimit"": ""6""}",[],0.001647
bi16b,20,"{""tagA"": ""Aga_Khan_IV"", ""dateA"": ""2012-12-27"", ""tagB"": ""Something_in_Common"", ""dateB"": ""2010-02-25"", ""maxKnowsLimit"": ""5""}",[],0.001336
bi16b,21,"{""tagA"": ""J.E._Heartbreak"", ""dateA"": ""2012-12-31"", ""tagB"": ""William_Blake"", ""dateB"": ""2010-02-25"", ""maxKnowsLimit"": ""5""}",[],0.005668
bi16b,22,"{""tagA"": ""Black_Tie_White_Noise"", ""dateA"": ""2012-12-30"", ""tagB"": ""Arma-Goddamn-Motherfuckin-Geddon"", ""dateB"": ""2010-12-30"", ""maxKnowsLimit"": ""4""}",[],0.001922
bi16b,23,"{""tagA"": ""Transatlanticism"", ""dateA"": ""2012-12-27"", ""tagB"": ""Preflyte"", ""dateB"": ""2010-04-06"", ""maxKnowsLimit"": ""5""}",[],0.001309
bi16b,24,"{""tagA"": ""Catfights_and_Spotlights"", ""dateA"": ""2012-12-28"", ""tagB"": ""Going_to_a_Go-Go"", ""dateB"": ""2010-07-26"", ""maxKnowsLimit"": ""5""}",[],0.001197
bi16b,25,"{""tagA"": ""Meaty_Beaty_Big_and_Bouncy"", ""dateA"": ""2012-12-30"", ""tagB"": ""Rani_Mukerji"", ""dateB"": ""2011-08-12"", ""maxKnowsLimit"": ""4""}",[],0.001553
