query,parameter_index,parameters,results,time_seconds
bi15b,1,"{""person1Id"": ""28587302328111"", ""person2Id"": ""32985348837009"", ""startDate"": ""2010-04-19"", ""endDate"": ""2010-05-11""}","[{""weight"": 2.0}]",9.924690
bi15b,2,"{""person1Id"": ""2199023262040"", ""person2Id"": ""8796093031696"", ""startDate"": ""2010-04-17"", ""endDate"": ""2010-05-09""}","[{""weight"": 1.1373873873873874}]",9.673121
bi15b,3,"{""person1Id"": ""19791209309402"", ""person2Id"": ""37383395352147"", ""startDate"": ""2010-04-15"", ""endDate"": ""2010-05-07""}","[{""weight"": 1.4722222222222223}]",9.584838
bi15b,4,"{""person1Id"": ""2199023256436"", ""person2Id"": ""26388279076493"", ""startDate"": ""2010-04-20"", ""endDate"": ""2010-05-12""}","[{""weight"": 1.2666666666666666}]",10.113880
bi15b,5,"{""person1Id"": ""30786325580791"", ""person2Id"": ""32985348840173"", ""startDate"": ""2010-04-14"", ""endDate"": ""2010-05-06""}","[{""weight"": 2.0}]",10.244377
bi15b,6,"{""person1Id"": ""4398046512501"", ""person2Id"": ""8796093022739"", ""startDate"": ""2010-04-16"", ""endDate"": ""2010-05-08""}","[{""weight"": 0.44959388437649306}]",9.832583
bi15b,7,"{""person1Id"": ""4398046518561"", ""person2Id"": ""13194139540142"", ""startDate"": ""2010-04-19"", ""endDate"": ""2010-05-11""}","[{""weight"": 1.7857142857142856}]",9.674455
bi15b,8,"{""person1Id"": ""28587302329645"", ""person2Id"": ""35184372099288"", ""startDate"": ""2010-04-14"", ""endDate"": ""2010-05-06""}","[{""weight"": 0.42028985507246375}]",9.676685
bi15b,9,"{""person1Id"": ""17592186047792"", ""person2Id"": ""10995116282575"", ""startDate"": ""2010-04-18"", ""endDate"": ""2010-05-10""}","[{""weight"": 0.42063492063492064}]",9.674454
bi15b,10,"{""person1Id"": ""15393162794968"", ""person2Id"": ""19791209303272"", ""startDate"": ""2010-04-14"", ""endDate"": ""2010-05-06""}","[{""weight"": 0.3666666666666667}]",9.648090
bi15b,11,"{""person1Id"": ""4398046521444"", ""person2Id"": ""4398046515369"", ""startDate"": ""2010-04-13"", ""endDate"": ""2010-05-05""}","[{""weight"": 1.2666666666666666}]",9.968717
bi15b,12,"{""person1Id"": ""6597069776343"", ""person2Id"": ""24189255814035"", ""startDate"": ""2010-04-13"", ""endDate"": ""2010-05-05""}","[{""weight"": 0.50837671100829}]",10.209366
bi15b,13,"{""person1Id"": ""2199023258717"", ""person2Id"": ""19791209302242"", ""startDate"": ""2010-04-15"", ""endDate"": ""2010-05-07""}","[{""weight"": 1.1625}]",10.300070
bi15b,14,"{""person1Id"": ""4398046515338"", ""person2Id"": ""32985348834959"", ""startDate"": ""2010-04-18"", ""endDate"": ""2010-05-10""}","[{""weight"": 1.3802521008403361}]",9.821760
bi15b,15,"{""person1Id"": ""8796093031935"", ""person2Id"": ""32985348837079"", ""startDate"": ""2010-04-13"", ""endDate"": ""2010-05-05""}","[{""weight"": 1.5022988505747126}]",9.771416
bi15b,16,"{""person1Id"": ""32985348835655"", ""person2Id"": ""35184372089235"", ""startDate"": ""2010-04-15"", ""endDate"": ""2010-05-07""}","[{""weight"": 2.0}]",9.962345
bi15b,17,"{""person1Id"": ""2199023259806"", ""person2Id"": ""6597069766879"", ""startDate"": ""2010-04-15"", ""endDate"": ""2010-05-07""}","[{""weight"": 0.753968253968254}]",9.812803
bi15b,18,"{""person1Id"": ""2199023256108"", ""person2Id"": ""32985348836992"", ""startDate"": ""2010-04-16"", ""endDate"": ""2010-05-08""}","[{""weight"": 0.7777777777777778}]",9.564342
bi15b,19,"{""person1Id"": ""26388279069262"", ""person2Id"": ""21990232559545"", ""startDate"": ""2010-04-20"", ""endDate"": ""2010-05-12""}","[{""weight"": 1.2916666666666665}]",9.932482
bi15b,20,"{""person1Id"": ""35184372090782"", ""person2Id"": ""2199023263915"", ""startDate"": ""2010-04-18"", ""endDate"": ""2010-05-10""}","[{""weight"": 1.2428571428571429}]",9.798024
bi15b,21,"{""person1Id"": ""8796093030492"", ""person2Id"": ""4398046512280"", ""startDate"": ""2010-04-19"", ""endDate"": ""2010-05-11""}","[{""weight"": 1.369581807081807}]",10.207009
bi15b,22,"{""person1Id"": ""30786325579727"", ""person2Id"": ""30786325583816"", ""startDate"": ""2010-04-21"", ""endDate"": ""2010-05-13""}","[{""weight"": 1.8928571428571428}]",9.950804
bi15b,23,"{""person1Id"": ""28587302328611"", ""person2Id"": ""10995116285520"", ""startDate"": ""2010-04-15"", ""endDate"": ""2010-05-07""}","[{""weight"": 1.2666666666666666}]",9.987009
bi15b,24,"{""person1Id"": ""32985348841016"", ""person2Id"": ""35184372093652"", ""startDate"": ""2010-04-21"", ""endDate"": ""2010-05-13""}","[{""weight"": 2.0}]",9.987106
