query,parameter_index,parameters,results,time_seconds
bi17,1,"{""tag"": ""Cosmic_Egg"", ""delta"": ""12""}",[],0.061754
bi17,2,"{""tag"": ""MantaRay"", ""delta"": ""13""}",[],0.020315
bi17,3,"{""tag"": ""The_Archives_Vol._1_1963–1972"", ""delta"": ""10""}",[],0.991937
bi17,4,"{""tag"": ""Kissin_U"", ""delta"": ""12""}","[{""person1.id"": 15393162791639, ""messageCount"": 1}]",0.031045
bi17,5,"{""tag"": ""Change_Clothes"", ""delta"": ""12""}","[{""person1.id"": 15393162792105, ""messageCount"": 2}, {""person1.id"": 24189255819865, ""messageCount"": 1}]",0.096827
bi17,6,"{""tag"": ""Love_It_When_You_Call"", ""delta"": ""12""}",[],0.036396
bi17,7,"{""tag"": ""Drastic_Measures"", ""delta"": ""16""}",[],0.009579
bi17,8,"{""tag"": ""Take_Me_on_the_Floor"", ""delta"": ""13""}",[],0.015545
bi17,9,"{""tag"": ""The_Roof_Is_on_Fire"", ""delta"": ""10""}",[],0.027855
bi17,10,"{""tag"": ""The_Dangermen_Sessions_Vol._1"", ""delta"": ""10""}",[],0.019175
bi17,11,"{""tag"": ""Lean_into_It"", ""delta"": ""16""}",[],0.021074
bi17,12,"{""tag"": ""Check_Yo_Self"", ""delta"": ""10""}",[],0.025726
bi17,13,"{""tag"": ""Everyway_That_I_Can"", ""delta"": ""11""}","[{""person1.id"": 28587302326226, ""messageCount"": 1}]",0.023878
bi17,14,"{""tag"": ""Wang_Dang_Doodle"", ""delta"": ""15""}","[{""person1.id"": 2199023265475, ""messageCount"": 1}, {""person1.id"": 6597069776896, ""messageCount"": 1}]",0.024422
bi17,15,"{""tag"": ""Brighten_the_Corners"", ""delta"": ""9""}",[],0.018981
bi17,16,"{""tag"": ""Diego_Rivera"", ""delta"": ""11""}",[],0.003783
bi17,17,"{""tag"": ""He_Said_She_Said"", ""delta"": ""12""}","[{""person1.id"": 2199023263911, ""messageCount"": 1}, {""person1.id"": 17592186053840, ""messageCount"": 1}]",0.030497
bi17,18,"{""tag"": ""Heart_On"", ""delta"": ""9""}","[{""person1.id"": 15393162799448, ""messageCount"": 1}]",0.018844
bi17,19,"{""tag"": ""Cualquier_Día"", ""delta"": ""13""}",[],0.011547
bi17,20,"{""tag"": ""How_I_Could_Just_Kill_a_Man"", ""delta"": ""9""}",[],0.008455
bi17,21,"{""tag"": ""Nothing_in_This_World"", ""delta"": ""12""}","[{""person1.id"": 13194139539096, ""messageCount"": 1}, {""person1.id"": 19791209304987, ""messageCount"": 1}]",0.011579
bi17,22,"{""tag"": ""Indian_Outlaw"", ""delta"": ""11""}",[],0.018294
bi17,23,"{""tag"": ""Little_T&A"", ""delta"": ""12""}","[{""person1.id"": 13194139534157, ""messageCount"": 1}]",0.009647
bi17,24,"{""tag"": ""Year_of_the_Dog..._Again"", ""delta"": ""9""}",[],0.010828
bi17,25,"{""tag"": ""Hendrix_in_the_West"", ""delta"": ""8""}","[{""person1.id"": 28587302329647, ""messageCount"": 1}]",0.018443
bi17,26,"{""tag"": ""Identified"", ""delta"": ""13""}",[],0.012536
bi17,27,"{""tag"": ""Me_and_Mr._Johnson"", ""delta"": ""13""}",[],0.011899
bi17,28,"{""tag"": ""The_Matrix_Reloaded:_The_Album"", ""delta"": ""16""}","[{""person1.id"": 15393162796545, ""messageCount"": 1}, {""person1.id"": 26388279071146, ""messageCount"": 1}]",0.011719
bi17,29,"{""tag"": ""Metal_Massacre"", ""delta"": ""13""}",[],0.009481
bi17,30,"{""tag"": ""Jeanny"", ""delta"": ""9""}","[{""person1.id"": 8796093027094, ""messageCount"": 1}]",0.014894
bi17,31,"{""tag"": ""Balls_to_the_Wall"", ""delta"": ""16""}",[],0.009343
bi17,32,"{""tag"": ""If_Your_Girl_Only_Knew"", ""delta"": ""10""}",[],0.009751
bi17,33,"{""tag"": ""II_Trill"", ""delta"": ""12""}",[],0.012269
bi17,34,"{""tag"": ""Please_Remember_Me"", ""delta"": ""11""}",[],0.011109
bi17,35,"{""tag"": ""Hickory_Wind"", ""delta"": ""10""}","[{""person1.id"": 24189255814629, ""messageCount"": 1}]",0.008132
bi17,36,"{""tag"": ""Give_Me_Convenience_or_Give_Me_Death"", ""delta"": ""13""}",[],0.007212
bi17,37,"{""tag"": ""In_the_Spirit_of_Things"", ""delta"": ""12""}",[],0.010412
bi17,38,"{""tag"": ""Hannah_Montana_Forever"", ""delta"": ""12""}",[],0.012006
bi17,39,"{""tag"": ""Cheap_Trick_at_Budokan"", ""delta"": ""8""}",[],0.009871
bi17,40,"{""tag"": ""Accident_of_Birth"", ""delta"": ""10""}",[],0.007815
bi17,41,"{""tag"": ""Attack_of_the_Grey_Lantern"", ""delta"": ""16""}",[],0.008904
bi17,42,"{""tag"": ""I_Am_the_Night"", ""delta"": ""8""}",[],0.009138
