query,parameter_index,parameters,results,time_seconds
bi20b,1,"{""company"": ""National_Airlines_(5M)"", ""person2Id"": ""13194139540317""}","[{""person1.id"": 24189255819104, ""totalWeight"": 3}]",0.003283
bi20b,2,"{""company"": ""DHL_Aero_Expreso"", ""person2Id"": ""26388279073722""}","[{""person1.id"": 26388279072317, ""totalWeight"": 4}]",0.002219
bi20b,3,"{""company"": ""Flight_Alaska"", ""person2Id"": ""19791209302340""}","[{""person1.id"": 8796093032397, ""totalWeight"": 9}]",0.002200
bi20b,4,"{""company"": ""Isleña_Airlines"", ""person2Id"": ""13194139540984""}","[{""person1.id"": 21990232560852, ""totalWeight"": 4}]",0.002026
bi20b,5,"{""company"": ""Air_Adriatic"", ""person2Id"": ""8796093023078""}","[{""person1.id"": 10995116277761, ""totalWeight"": 5}]",0.001928
bi20b,6,"{""company"": ""Isleña_Airlines"", ""person2Id"": ""15393162789356""}","[{""person1.id"": 21990232560852, ""totalWeight"": 6}]",0.001977
bi20b,7,"{""company"": ""Flight_Alaska"", ""person2Id"": ""30786325585990""}","[{""person1.id"": 8796093032397, ""totalWeight"": 10}]",0.001900
bi20b,8,"{""company"": ""Air_Adriatic"", ""person2Id"": ""30786325578081""}","[{""person1.id"": 32985348843444, ""totalWeight"": 6}]",0.001850
bi20b,9,"{""company"": ""Mid-Atlantic_Freight"", ""person2Id"": ""19791209305839""}","[{""person1.id"": 19791209303126, ""totalWeight"": 6}]",0.002489
bi20b,10,"{""company"": ""Royal_Air_Freight"", ""person2Id"": ""19791209305839""}","[{""person1.id"": 17592186053274, ""totalWeight"": 3}]",0.001930
bi20b,11,"{""company"": ""Alsek_Air_Service"", ""person2Id"": ""19791209305839""}","[{""person1.id"": 19791209303126, ""totalWeight"": 6}]",0.002051
bi20b,12,"{""company"": ""Isleña_Airlines"", ""person2Id"": ""26388279067076""}","[{""person1.id"": 21990232560852, ""totalWeight"": 8}]",0.001858
bi20b,13,"{""company"": ""Nationwide_Airlines"", ""person2Id"": ""2199023258844""}","[{""person1.id"": 8796093022681, ""totalWeight"": 7}]",0.001720
bi20b,14,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""32985348842998""}","[{""person1.id"": 26388279073849, ""totalWeight"": 7}]",0.001688
bi20b,15,"{""company"": ""Mid-Atlantic_Freight"", ""person2Id"": ""21990232557693""}","[{""person1.id"": 19791209303126, ""totalWeight"": 9}]",0.001703
bi20b,16,"{""company"": ""Royal_Air_Freight"", ""person2Id"": ""21990232557693""}","[{""person1.id"": 17592186053274, ""totalWeight"": 6}]",0.001780
bi20b,17,"{""company"": ""Alsek_Air_Service"", ""person2Id"": ""21990232557693""}","[{""person1.id"": 19791209303126, ""totalWeight"": 9}]",0.001655
bi20b,18,"{""company"": ""Air_Adriatic"", ""person2Id"": ""26388279073127""}","[{""person1.id"": 32985348843444, ""totalWeight"": 9}]",0.001854
bi20b,19,"{""company"": ""Mid-Atlantic_Freight"", ""person2Id"": ""2972""}","[{""person1.id"": 19791209303126, ""totalWeight"": 2}]",0.001623
bi20b,20,"{""company"": ""Royal_Air_Freight"", ""person2Id"": ""2972""}","[{""person1.id"": 19791209303126, ""totalWeight"": 2}]",0.001716
bi20b,21,"{""company"": ""Alsek_Air_Service"", ""person2Id"": ""2972""}","[{""person1.id"": 19791209303126, ""totalWeight"": 2}]",0.001705
bi20b,22,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""10995116282628""}","[{""person1.id"": 26388279073849, ""totalWeight"": 2}]",0.001624
bi20b,23,"{""company"": ""Burundaiavia"", ""person2Id"": ""21990232565992""}","[{""person1.id"": 26388279074714, ""totalWeight"": 3}]",0.001769
bi20b,24,"{""company"": ""Asia_Continental_Airlines"", ""person2Id"": ""21990232565992""}","[{""person1.id"": 32985348842829, ""totalWeight"": 5}]",0.001714
bi20b,25,"{""company"": ""Isleña_Airlines"", ""person2Id"": ""28587302324276""}","[{""person1.id"": 21990232560852, ""totalWeight"": 7}]",0.001762
bi20b,26,"{""company"": ""Air_Scotland"", ""person2Id"": ""32985348834690""}","[{""person1.id"": 30786325583355, ""totalWeight"": 12}]",0.001739
bi20b,27,"{""company"": ""DHL_Aero_Expreso"", ""person2Id"": ""32985348834690""}","[{""person1.id"": 26388279072317, ""totalWeight"": 3}]",0.001986
bi20b,28,"{""company"": ""National_Airlines_(5M)"", ""person2Id"": ""26388279068973""}","[{""person1.id"": 15393162799417, ""totalWeight"": 5}]",0.001811
bi20b,29,"{""company"": ""Burundaiavia"", ""person2Id"": ""32985348842829""}","[{""person1.id"": 10995116278952, ""totalWeight"": 7}, {""person1.id"": 26388279074714, ""totalWeight"": 7}]",0.001825
bi20b,30,"{""company"": ""DHL_Aero_Expreso"", ""person2Id"": ""10995116286648""}","[{""person1.id"": 26388279072317, ""totalWeight"": 3}]",0.001942
bi20b,31,"{""company"": ""DHL_Aero_Expreso"", ""person2Id"": ""4398046520505""}","[{""person1.id"": 26388279072317, ""totalWeight"": 9}]",0.001889
bi20b,32,"{""company"": ""Europe_Airpost"", ""person2Id"": ""2199023258256""}","[{""person1.id"": 6597069767000, ""totalWeight"": 3}]",0.001699
bi20b,33,"{""company"": ""Olympic_Aviation"", ""person2Id"": ""10995116277761""}","[{""person1.id"": 26388279067777, ""totalWeight"": 4}]",0.001789
bi20b,34,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""13194139539554""}","[{""person1.id"": 26388279073849, ""totalWeight"": 7}]",0.001799
bi20b,35,"{""company"": ""Isleña_Airlines"", ""person2Id"": ""10006""}","[{""person1.id"": 21990232560852, ""totalWeight"": 11}]",0.001982
bi20b,36,"{""company"": ""DHL_Aero_Expreso"", ""person2Id"": ""24189255814268""}","[{""person1.id"": 26388279072317, ""totalWeight"": 4}]",0.001936
bi20b,37,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""32985348842205""}","[{""person1.id"": 26388279073849, ""totalWeight"": 8}]",0.001845
bi20b,38,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""24189255813411""}","[{""person1.id"": 26388279073849, ""totalWeight"": 2}]",0.001843
bi20b,39,"{""company"": ""Isleña_Airlines"", ""person2Id"": ""13194139537752""}","[{""person1.id"": 21990232560852, ""totalWeight"": 6}]",0.001982
bi20b,40,"{""company"": ""Nationwide_Airlines"", ""person2Id"": ""5688""}","[{""person1.id"": 8796093022681, ""totalWeight"": 8}]",0.001883
bi20b,41,"{""company"": ""Air_Adriatic"", ""person2Id"": ""35184372092244""}","[{""person1.id"": 32985348843444, ""totalWeight"": 4}]",0.001872
bi20b,42,"{""company"": ""LASER_Airlines"", ""person2Id"": ""28587302328205""}","[{""person1.id"": 28587302324853, ""totalWeight"": 3}]",0.001911
bi20b,43,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""30786325581580""}","[{""person1.id"": 26388279073849, ""totalWeight"": 6}]",0.001735
bi20b,44,"{""company"": ""National_Airlines_(5M)"", ""person2Id"": ""10995116278807""}","[{""person1.id"": 32985348838556, ""totalWeight"": 10}]",0.001805
bi20b,45,"{""company"": ""Air_Scotland"", ""person2Id"": ""15393162797703""}","[{""person1.id"": 30786325583355, ""totalWeight"": 11}]",0.001791
bi20b,46,"{""company"": ""DHL_Aero_Expreso"", ""person2Id"": ""15393162797703""}","[{""person1.id"": 26388279072317, ""totalWeight"": 8}]",0.001821
bi20b,47,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""28587302324332""}","[{""person1.id"": 26388279073849, ""totalWeight"": 1}]",0.001764
bi20b,48,"{""company"": ""National_Airlines_(5M)"", ""person2Id"": ""10995116281401""}","[{""person1.id"": 24189255819104, ""totalWeight"": 5}]",0.001880
bi20b,49,"{""company"": ""Isleña_Airlines"", ""person2Id"": ""15393162792008""}","[{""person1.id"": 21990232560852, ""totalWeight"": 5}]",0.001781
bi20b,50,"{""company"": ""Air_Adriatic"", ""person2Id"": ""24189255818641""}","[{""person1.id"": 32985348843444, ""totalWeight"": 1}]",0.001774
bi20b,51,"{""company"": ""Europe_Airpost"", ""person2Id"": ""21990232559401""}","[{""person1.id"": 6597069767000, ""totalWeight"": 5}]",0.001842
bi20b,52,"{""company"": ""Air_Anatolia"", ""person2Id"": ""19791209301273""}","[{""person1.id"": 32985348833693, ""totalWeight"": 2}]",0.001752
bi20b,53,"{""company"": ""Express.Net_Airlines"", ""person2Id"": ""8796093032397""}","[{""person1.id"": 30786325585990, ""totalWeight"": 10}]",0.001822
bi20b,54,"{""company"": ""Air_Adriatic"", ""person2Id"": ""30786325579754""}","[{""person1.id"": 32985348843444, ""totalWeight"": 1}]",0.001858
bi20b,55,"{""company"": ""Air_Adriatic"", ""person2Id"": ""4398046512501""}","[{""person1.id"": 32985348843444, ""totalWeight"": 8}]",0.002330
bi20b,56,"{""company"": ""Air_Scotland"", ""person2Id"": ""10995116284625""}","[{""person1.id"": 30786325583355, ""totalWeight"": 16}]",0.001907
bi20b,57,"{""company"": ""DHL_Aero_Expreso"", ""person2Id"": ""10995116284625""}","[{""person1.id"": 26388279072317, ""totalWeight"": 6}]",0.002322
bi20b,58,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""13194139542835""}","[{""person1.id"": 26388279073849, ""totalWeight"": 7}]",0.001918
bi20b,59,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""19791209309123""}","[{""person1.id"": 26388279073849, ""totalWeight"": 3}]",0.001870
bi20b,60,"{""company"": ""Isleña_Airlines"", ""person2Id"": ""35184372099219""}","[{""person1.id"": 21990232560852, ""totalWeight"": 8}]",0.002023
bi20b,61,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""35184372097083""}","[{""person1.id"": 26388279073849, ""totalWeight"": 3}]",59.860557
bi20b,62,"{""company"": ""Air_Adriatic"", ""person2Id"": ""19791209301023""}","[{""person1.id"": 32985348843444, ""totalWeight"": 10}]",0.003098
bi20b,63,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""15393162792128""}","[{""person1.id"": 26388279073849, ""totalWeight"": 6}]",0.002700
bi20b,64,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""15393162792471""}","[{""person1.id"": 26388279073849, ""totalWeight"": 1}]",0.001964
bi20b,65,"{""company"": ""Isleña_Airlines"", ""person2Id"": ""6597069767981""}","[{""person1.id"": 21990232560852, ""totalWeight"": 3}]",0.001907
bi20b,66,"{""company"": ""Air_Anatolia"", ""person2Id"": ""30786325582700""}","[{""person1.id"": 15393162789121, ""totalWeight"": 9}]",0.002030
bi20b,67,"{""company"": ""Mistral_Aviation"", ""person2Id"": ""30786325583499""}","[{""person1.id"": 26388279073849, ""totalWeight"": 2}]",0.001966
bi20b,68,"{""company"": ""DHL_Aero_Expreso"", ""person2Id"": ""35184372099174""}","[{""person1.id"": 26388279072317, ""totalWeight"": 8}]",0.002089
bi20b,69,"{""company"": ""Air_Anatolia"", ""person2Id"": ""10995116277998""}","[{""person1.id"": 15393162789121, ""totalWeight"": 2}]",0.002007
bi20b,70,"{""company"": ""DHL_Aero_Expreso"", ""person2Id"": ""5320""}","[{""person1.id"": 26388279072317, ""totalWeight"": 7}]",0.002281
bi20b,71,"{""company"": ""DHL_Aero_Expreso"", ""person2Id"": ""15393162797768""}","[{""person1.id"": 26388279072317, ""totalWeight"": 4}]",0.002843
