query,parameter_index,parameters,results,time_seconds
bi11,1,"{""country"": ""India"", ""startDate"": ""2012-09-28"", ""endDate"": ""2013-01-10""}","[{""count"": 840}]",0.434133
bi11,2,"{""country"": ""China"", ""startDate"": ""2012-09-30"", ""endDate"": ""2012-12-31""}","[{""count"": 548}]",0.311774
bi11,3,"{""country"": ""India"", ""startDate"": ""2012-10-04"", ""endDate"": ""2013-01-16""}","[{""count"": 718}]",0.330632
bi11,4,"{""country"": ""China"", ""startDate"": ""2012-10-12"", ""endDate"": ""2013-01-12""}","[{""count"": 362}]",0.236820
bi11,5,"{""country"": ""China"", ""startDate"": ""2012-10-14"", ""endDate"": ""2013-01-14""}","[{""count"": 326}]",0.230169
bi11,6,"{""country"": ""China"", ""startDate"": ""2012-10-02"", ""endDate"": ""2013-01-02""}","[{""count"": 523}]",0.286959
bi11,7,"{""country"": ""India"", ""startDate"": ""2012-10-18"", ""endDate"": ""2013-01-30""}","[{""count"": 384}]",0.249871
bi11,8,"{""country"": ""China"", ""startDate"": ""2012-09-25"", ""endDate"": ""2012-12-26""}","[{""count"": 679}]",0.315171
bi11,9,"{""country"": ""China"", ""startDate"": ""2012-10-04"", ""endDate"": ""2013-01-04""}","[{""count"": 480}]",0.283193
bi11,10,"{""country"": ""India"", ""startDate"": ""2012-09-30"", ""endDate"": ""2013-01-12""}","[{""count"": 790}]",0.391622
bi11,11,"{""country"": ""China"", ""startDate"": ""2012-09-21"", ""endDate"": ""2012-12-22""}","[{""count"": 802}]",0.354738
bi11,12,"{""country"": ""China"", ""startDate"": ""2012-10-19"", ""endDate"": ""2013-01-19""}","[{""count"": 246}]",0.208375
bi11,13,"{""country"": ""India"", ""startDate"": ""2012-10-19"", ""endDate"": ""2013-01-31""}","[{""count"": 358}]",0.258587
bi11,14,"{""country"": ""India"", ""startDate"": ""2012-10-02"", ""endDate"": ""2013-01-14""}","[{""count"": 761}]",0.332559
bi11,15,"{""country"": ""India"", ""startDate"": ""2012-10-12"", ""endDate"": ""2013-01-24""}","[{""count"": 526}]",0.298548
bi11,16,"{""country"": ""China"", ""startDate"": ""2012-10-18"", ""endDate"": ""2013-01-18""}","[{""count"": 259}]",0.213596
bi11,17,"{""country"": ""India"", ""startDate"": ""2012-10-11"", ""endDate"": ""2013-01-23""}","[{""count"": 545}]",0.306887
bi11,18,"{""country"": ""India"", ""startDate"": ""2012-09-26"", ""endDate"": ""2013-01-08""}","[{""count"": 887}]",0.393470
bi11,19,"{""country"": ""China"", ""startDate"": ""2012-09-26"", ""endDate"": ""2012-12-27""}","[{""count"": 647}]",0.338227
bi11,20,"{""country"": ""India"", ""startDate"": ""2012-09-21"", ""endDate"": ""2013-01-03""}","[{""count"": 1008}]",0.419342
bi11,21,"{""country"": ""China"", ""startDate"": ""2012-10-07"", ""endDate"": ""2013-01-07""}","[{""count"": 431}]",0.277477
bi11,22,"{""country"": ""China"", ""startDate"": ""2012-09-28"", ""endDate"": ""2012-12-29""}","[{""count"": 599}]",0.318657
bi11,23,"{""country"": ""China"", ""startDate"": ""2012-10-05"", ""endDate"": ""2013-01-05""}","[{""count"": 461}]",0.265728
bi11,24,"{""country"": ""India"", ""startDate"": ""2012-10-14"", ""endDate"": ""2013-01-26""}","[{""count"": 482}]",0.274286
bi11,25,"{""country"": ""India"", ""startDate"": ""2012-10-09"", ""endDate"": ""2013-01-21""}","[{""count"": 588}]",0.300518
bi11,26,"{""country"": ""India"", ""startDate"": ""2012-10-10"", ""endDate"": ""2013-01-22""}","[{""count"": 567}]",0.289054
bi11,27,"{""country"": ""India"", ""startDate"": ""2012-10-05"", ""endDate"": ""2013-01-17""}","[{""count"": 689}]",0.316578
bi11,28,"{""country"": ""India"", ""startDate"": ""2012-10-03"", ""endDate"": ""2013-01-15""}","[{""count"": 741}]",0.324486
bi11,29,"{""country"": ""China"", ""startDate"": ""2012-09-27"", ""endDate"": ""2012-12-28""}","[{""count"": 617}]",0.308825
bi11,30,"{""country"": ""China"", ""startDate"": ""2012-10-03"", ""endDate"": ""2013-01-03""}","[{""count"": 500}]",0.274175
bi11,31,"{""country"": ""India"", ""startDate"": ""2012-09-23"", ""endDate"": ""2013-01-05""}","[{""count"": 969}]",0.386468
bi11,32,"{""country"": ""India"", ""startDate"": ""2012-10-16"", ""endDate"": ""2013-01-28""}","[{""count"": 438}]",0.266258
bi11,33,"{""country"": ""China"", ""startDate"": ""2012-10-16"", ""endDate"": ""2013-01-16""}","[{""count"": 290}]",0.216971
bi11,34,"{""country"": ""China"", ""startDate"": ""2012-10-11"", ""endDate"": ""2013-01-11""}","[{""count"": 377}]",0.239954
bi11,35,"{""country"": ""India"", ""startDate"": ""2012-10-07"", ""endDate"": ""2013-01-19""}","[{""count"": 639}]",0.306521
bi11,36,"{""country"": ""China"", ""startDate"": ""2012-09-23"", ""endDate"": ""2012-12-24""}","[{""count"": 755}]",0.328344
bi11,37,"{""country"": ""India"", ""startDate"": ""2012-09-27"", ""endDate"": ""2013-01-09""}","[{""count"": 876}]",0.357478
bi11,38,"{""country"": ""China"", ""startDate"": ""2012-10-09"", ""endDate"": ""2013-01-09""}","[{""count"": 403}]",0.249263
bi11,39,"{""country"": ""China"", ""startDate"": ""2012-10-10"", ""endDate"": ""2013-01-10""}","[{""count"": 390}]",0.251543
bi11,40,"{""country"": ""India"", ""startDate"": ""2012-09-25"", ""endDate"": ""2013-01-07""}","[{""count"": 925}]",0.417287
