query,parameter_index,parameters,results,time_seconds
bi8b,1,"{""tag"": ""100_Years"", ""startDate"": ""2010-06-27"", ""endDate"": ""2010-07-07""}","[{""person.id"": 8796093022378, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 26388279069292, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 2199023261531, ""score"": 1, ""friendsScore"": 0}]",0.103984
bi8b,2,"{""tag"": ""1962–1966"", ""startDate"": ""2010-06-12"", ""endDate"": ""2010-06-22""}","[{""person.id"": 4398046514874, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 15393162791594, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 28587302323109, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 28587302327717, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 35184372094729, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 2199023259320, ""score"": 1, ""friendsScore"": 0}]",0.123697
bi8b,3,"{""tag"": ""200_km/h_in_the_Wrong_Lane"", ""startDate"": ""2010-06-26"", ""endDate"": ""2010-07-09""}","[{""person.id"": 2199023261231, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 2199023265902, ""score"": 1, ""friendsScore"": 0}]",0.049222
bi8b,4,"{""tag"": ""12_Memories"", ""startDate"": ""2010-06-10"", ""endDate"": ""2010-06-21""}","[{""person.id"": 13194139543830, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 3903, ""score"": 1, ""friendsScore"": 0}]",0.049577
bi8b,5,"{""tag"": ""10,000_Days"", ""startDate"": ""2010-06-27"", ""endDate"": ""2010-07-07""}","[{""person.id"": 8567, ""score"": 1, ""friendsScore"": 0}]",0.021761
bi8b,6,"{""tag"": ""1_Thing"", ""startDate"": ""2010-06-09"", ""endDate"": ""2010-06-23""}","[{""person.id"": 10995116277782, ""score"": 100, ""friendsScore"": 100}, {""person.id"": 26388279075244, ""score"": 100, ""friendsScore"": 100}, {""person.id"": 2199023259163, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 6597069775364, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 10995116282169, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 13194139538587, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 13194139541560, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 21990232556461, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 30786325579616, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 32985348838860, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 35184372090065, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 2199023264940, ""score"": 1, ""friendsScore"": 0}]",0.304862
bi8b,7,"{""tag"": ""1962–1966"", ""startDate"": ""2010-06-11"", ""endDate"": ""2010-06-24""}","[{""person.id"": 4398046514874, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 15393162791594, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 28587302323109, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 28587302327717, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 35184372094729, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 2199023259320, ""score"": 1, ""friendsScore"": 0}]",0.112618
bi8b,8,"{""tag"": ""12_Memories"", ""startDate"": ""2010-06-09"", ""endDate"": ""2010-06-23""}","[{""person.id"": 13194139543830, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 3903, ""score"": 1, ""friendsScore"": 0}]",0.048951
bi8b,9,"{""tag"": ""10.000_Nights_of_Thunder"", ""startDate"": ""2010-06-11"", ""endDate"": ""2010-06-24""}","[{""person.id"": 10556, ""score"": 101, ""friendsScore"": 0}, {""person.id"": 15393162794465, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 32985348842600, ""score"": 100, ""friendsScore"": 0}]",0.076934
bi8b,10,"{""tag"": ""12_X_5"", ""startDate"": ""2010-06-08"", ""endDate"": ""2010-06-20""}","[{""person.id"": 5378, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 6597069769230, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 13194139541252, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 37383395348655, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 474, ""score"": 1, ""friendsScore"": 0}]",0.082809
bi8b,11,"{""tag"": ""1919_Eternal"", ""startDate"": ""2010-06-11"", ""endDate"": ""2010-06-24""}","[{""person.id"": 4398046519642, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 28587302325820, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 3903, ""score"": 1, ""friendsScore"": 0}]",0.081237
bi8b,12,"{""tag"": ""1_Thing"", ""startDate"": ""2010-06-08"", ""endDate"": ""2010-06-20""}","[{""person.id"": 10995116277782, ""score"": 100, ""friendsScore"": 100}, {""person.id"": 26388279075244, ""score"": 100, ""friendsScore"": 100}, {""person.id"": 2199023259163, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 6597069775364, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 10995116282169, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 13194139538587, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 13194139541560, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 21990232556461, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 30786325579616, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 32985348838860, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 35184372090065, ""score"": 100, ""friendsScore"": 0}, {""person.id"": 2199023264940, ""score"": 1, ""friendsScore"": 0}]",0.306528
